Topic,Words,Frequency,Timestamp,Name
5,"attack, adversarial, deepfake",16,2024-03-01 20:00:00,5_deepfake_attack_adversarial
6,"sr, super, restoration",16,2024-03-01 20:00:00,6_super_sr_restoration
7,"flood, traffic, forecasting",9,2024-03-01 20:00:00,7_traffic_forecasting_graph
8,"captioning, query, caption",9,2024-03-01 20:00:00,8_caption_captioning_retrieval
9,"compression, entropy, codec",9,2024-03-01 20:00:00,9_compression_codec_coding
10,"motility, pulse, light",9,2024-03-01 20:00:00,10_quantum_vortex_wave
11,"audio, speech, sound",6,2024-03-01 20:00:00,11_audio_sound_music
12,"reasoning, question, answer",14,2024-03-01 20:00:00,12_question_reasoning_answer
13,"hyperspectral, hsi, spectral",5,2024-03-01 20:00:00,13_hyperspectral_spectral_hsi
14,"sar, agriculture, satellite",8,2024-03-01 20:00:00,14_sar_radar_satellite
15,"action, repetition, cycle",9,2024-03-01 20:00:00,15_action_activity_vocabulary
16,"tracking, segmentation, vos",14,2024-03-01 20:00:00,16_tracking_segmentation_vos
17,"surgical, surgery, instrument",12,2024-03-01 20:00:00,17_surgical_surgery_sam
18,"dance, synthesis, contact",8,2024-03-01 20:00:00,18_character_synthesis_body
19,"omnidirectional, assessment, aigc",2,2024-03-01 20:00:00,19_assessment_vqa_iqa
20,"driving, trajectory, recurrent",3,2024-03-01 20:00:00,20_driving_autonomous_traffic
21,"estimation, lidar, scene",8,2024-03-01 20:00:00,21_monocular_scene_estimation
22,"copyright, stance, social",7,2024-03-01 20:00:00,22_recommendation_social_medium
23,"grasp, gaze, egocentric",5,2024-03-01 20:00:00,23_egocentric_grasp_bimanual
24,"relation, diagram, rap",4,2024-03-01 20:00:00,24_llm_geospatial_student
25,"anomaly, vad, throw",6,2024-03-01 20:00:00,25_anomaly_vad_normal
26,"emotion, expression, facial",5,2024-03-01 20:00:00,26_emotion_expression_facial
27,"token, vid, merging",4,2024-03-01 20:00:00,27_token_vit_tokenization
28,"sign, spotter, spoken",5,2024-03-01 20:00:00,28_sign_gloss_translation
29,"caching, vr, communication",1,2024-03-01 20:00:00,29_communication_wireless_transmission
30,"game, player, agent",5,2024-03-01 20:00:00,30_game_player_llm
31,"cluster, star, enrichment",3,2024-03-01 20:00:00,31_pulsar_star_gravitational
32,"mocap, foot, pressure",2,2024-03-01 20:00:00,32_estimation_occlusion_camera
33,"rppg, physiological, implicit",1,2024-03-01 20:00:00,33_rppg_physiological_remote
-1,"action, scene, camera",163,2024-04-01 06:00:00,-1_scene_action_camera
0,"segmentation, medical, imaging",94,2024-04-01 06:00:00,0_segmentation_medical_mri
1,"camera, t2v, edit",18,2024-04-01 06:00:00,1_editing_edit_t2v
2,"robot, manipulation, agent",14,2024-04-01 06:00:00,2_robot_policy_manipulation
3,"facial, head, expression",19,2024-04-01 06:00:00,3_facial_head_talk
4,"gaussian, camera, event",14,2024-04-01 06:00:00,4_gaussian_scene_splatting
5,"deepfake, attack, privacy",13,2024-04-01 06:00:00,5_deepfake_attack_adversarial
6,"super, sr, kernel",16,2024-04-01 06:00:00,6_super_sr_restoration
7,"forecasting, traffic, variable",10,2024-04-01 06:00:00,7_traffic_forecasting_graph
8,"retrieval, captioning, query",13,2024-04-01 06:00:00,8_caption_captioning_retrieval
9,"compression, codebook, bitrate",4,2024-04-01 06:00:00,9_compression_codec_coding
10,"quantum, qc, wave",9,2024-04-01 06:00:00,10_quantum_vortex_wave
11,"audio, music, sound",10,2024-04-01 06:00:00,11_audio_sound_music
12,"videoqa, reasoning, question",5,2024-04-01 06:00:00,12_question_reasoning_answer
13,"hyperspectral, spectral, hsi",9,2024-04-01 06:00:00,13_hyperspectral_spectral_hsi
14,"sar, remote, aircraft",9,2024-04-01 06:00:00,14_sar_radar_satellite
15,"action, tad, vocabulary",6,2024-04-01 06:00:00,15_action_activity_vocabulary
16,"tracking, vis, annotation",4,2024-04-01 06:00:00,16_tracking_segmentation_vos
17,"surgical, surgery, motor",4,2024-04-01 06:00:00,17_surgical_surgery_sam
18,"animation, character, species",3,2024-04-01 06:00:00,18_character_synthesis_body
19,"assessment, iqa, aigc",10,2024-04-01 06:00:00,19_assessment_vqa_iqa
20,"traffic, driving, autonomous",5,2024-04-01 06:00:00,20_driving_autonomous_traffic
21,"estimation, scene, casual",3,2024-04-01 06:00:00,21_monocular_scene_estimation
22,"creator, recommendation, copyright",8,2024-04-01 06:00:00,22_recommendation_social_medium
23,"egocentric, hold, grasp",6,2024-04-01 06:00:00,23_egocentric_grasp_bimanual
24,"sql, db, gpt",4,2024-04-01 06:00:00,24_llm_geospatial_student
25,"anomaly, normality, anomalous",3,2024-04-01 06:00:00,25_anomaly_vad_normal
26,"emotion, facial, learner",3,2024-04-01 06:00:00,26_emotion_expression_facial
27,"token, verbose, threshold",3,2024-04-01 06:00:00,27_token_vit_tokenization
28,"sign, clip, pretraining",1,2024-04-01 06:00:00,28_sign_gloss_translation
29,"xr, dt, transmission",3,2024-04-01 06:00:00,29_communication_wireless_transmission
30,"game, kg, procedural",5,2024-04-01 06:00:00,30_game_player_llm
31,"polarization, magnetic, lesssim",3,2024-04-01 06:00:00,31_pulsar_star_gravitational
32,"person, supervise, estimation",2,2024-04-01 06:00:00,32_estimation_occlusion_camera
33,"rppg, sleep, photoplethysmography",4,2024-04-01 06:00:00,33_rppg_physiological_remote
-1,"scene, camera, audio",159,2024-05-01 16:00:00,-1_scene_action_camera
0,"segmentation, imaging, medical",112,2024-05-01 16:00:00,0_segmentation_medical_mri
1,"editing, edit, dit",52,2024-05-01 16:00:00,1_editing_edit_t2v
2,"robot, manipulation, policy",30,2024-05-01 16:00:00,2_robot_policy_manipulation
3,"facial, talk, head",16,2024-05-01 16:00:00,3_facial_head_talk
4,"4d, gaussian, scene",18,2024-05-01 16:00:00,4_gaussian_scene_splatting
5,"attack, deepfake, dp",14,2024-05-01 16:00:00,5_deepfake_attack_adversarial
6,"sr, super, inverse",17,2024-05-01 16:00:00,6_super_sr_restoration
7,"mobility, urban, temperature",14,2024-05-01 16:00:00,7_traffic_forecasting_graph
8,"retrieval, summarization, captioning",10,2024-05-01 16:00:00,8_caption_captioning_retrieval
9,"compression, codec, group",8,2024-05-01 16:00:00,9_compression_codec_coding
10,"quantum, wave, soliton",10,2024-05-01 16:00:00,10_quantum_vortex_wave
11,"audio, music, sound",9,2024-05-01 16:00:00,11_audio_sound_music
12,"reasoning, situated, question",2,2024-05-01 16:00:00,12_question_reasoning_answer
13,"hyperspectral, spectral, hsi",11,2024-05-01 16:00:00,13_hyperspectral_spectral_hsi
14,"sar, imagery, satellite",4,2024-05-01 16:00:00,14_sar_radar_satellite
15,"action, plausible, class",8,2024-05-01 16:00:00,15_action_activity_vocabulary
16,"tracking, vos, vlt",7,2024-05-01 16:00:00,16_tracking_segmentation_vos
17,"surgical, vitals, localization",1,2024-05-01 16:00:00,17_surgical_surgery_sam
18,"person, synthesis, body",7,2024-05-01 16:00:00,18_character_synthesis_body
19,"vqa, iqa, assessment",6,2024-05-01 16:00:00,19_assessment_vqa_iqa
20,"vista, driving, autonomous",2,2024-05-01 16:00:00,20_driving_autonomous_traffic
21,"scene, monocular, estimation",5,2024-05-01 16:00:00,21_monocular_scene_estimation
22,"vlogger, comment, sora",5,2024-05-01 16:00:00,22_recommendation_social_medium
23,"egocentric, hotspot, trajectory",4,2024-05-01 16:00:00,23_egocentric_grasp_bimanual
24,"gpt, lecture, proof",5,2024-05-01 16:00:00,24_llm_geospatial_student
25,"anomaly, vad, concept",3,2024-05-01 16:00:00,25_anomaly_vad_normal
26,"emotion, gait, micro",4,2024-05-01 16:00:00,26_emotion_expression_facial
27,"token, tuning, peft",1,2024-05-01 16:00:00,27_token_vit_tokenization
28,"sign, slp, vocabulary",3,2024-05-01 16:00:00,28_sign_gloss_translation
29,"communication, mcc, transmission",4,2024-05-01 16:00:00,29_communication_wireless_transmission
30,"game, archaeological, personal",1,2024-05-01 16:00:00,30_game_player_llm
31,"polarization, residue, tail",2,2024-05-01 16:00:00,31_pulsar_star_gravitational
32,"hop, graph, convolutional",1,2024-05-01 16:00:00,32_estimation_occlusion_camera
33,"rppg, nas, remote",3,2024-05-01 16:00:00,33_rppg_physiological_remote
-1,"scene, action, graph",185,2024-06-01 02:00:00,-1_scene_action_camera
0,"segmentation, medical, mri",109,2024-06-01 02:00:00,0_segmentation_medical_mri
1,"editing, t2v, edit",54,2024-06-01 02:00:00,1_editing_edit_t2v
2,"robot, policy, manipulation",35,2024-06-01 02:00:00,2_robot_policy_manipulation
3,"head, expression, talk",12,2024-06-01 02:00:00,3_facial_head_talk
4,"gaussian, scene, 4d",22,2024-06-01 02:00:00,4_gaussian_scene_splatting
5,"deepfake, forgery, fake",16,2024-06-01 02:00:00,5_deepfake_attack_adversarial
6,"super, restoration, mirror",11,2024-06-01 02:00:00,6_super_sr_restoration
7,"graph, vertex, functional",6,2024-06-01 02:00:00,7_traffic_forecasting_graph
8,"captioning, caption, summarization",12,2024-06-01 02:00:00,8_caption_captioning_retrieval
9,"compression, codec, coding",10,2024-06-01 02:00:00,9_compression_codec_coding
10,"flux, vortex, heat",12,2024-06-01 02:00:00,10_quantum_vortex_wave
11,"audio, sound, music",11,2024-06-01 02:00:00,11_audio_sound_music
12,"reasoning, question, answer",10,2024-06-01 02:00:00,12_question_reasoning_answer
13,"spectral, hyperspectral, hsi",9,2024-06-01 02:00:00,13_hyperspectral_spectral_hsi
14,"ice, sar, moisture",5,2024-06-01 02:00:00,14_sar_radar_satellite
15,"action, adl, category",7,2024-06-01 02:00:00,15_action_activity_vocabulary
16,"tracking, tracklet, segmentation",10,2024-06-01 02:00:00,16_tracking_segmentation_vos
17,"surgical, surgery, triplet",6,2024-06-01 02:00:00,17_surgical_surgery_sam
18,"interactive, synthesis, scene",3,2024-06-01 02:00:00,18_character_synthesis_body
19,"iqa, assessment, ugc",7,2024-06-01 02:00:00,19_assessment_vqa_iqa
20,"driving, autonomous, safety",3,2024-06-01 02:00:00,20_driving_autonomous_traffic
21,"monocular, estimation, supervise",6,2024-06-01 02:00:00,21_monocular_scene_estimation
22,"character, copyright, medium",4,2024-06-01 02:00:00,22_recommendation_social_medium
23,"piano, breakdown, mpjpe",4,2024-06-01 02:00:00,23_egocentric_grasp_bimanual
24,"ordering, document, heterogeneous",2,2024-06-01 02:00:00,24_llm_geospatial_student
25,"anomaly, vad, lmms",4,2024-06-01 02:00:00,25_anomaly_vad_normal
26,"emotion, utterance, micro",2,2024-06-01 02:00:00,26_emotion_expression_facial
27,"token, lookup, index",3,2024-06-01 02:00:00,27_token_vit_tokenization
28,"sign, gloss, chunk",4,2024-06-01 02:00:00,28_sign_gloss_translation
29,"wireless, channel, communication",4,2024-06-01 02:00:00,29_communication_wireless_transmission
30,"game, agi, testbed",1,2024-06-01 02:00:00,30_game_player_llm
31,"pulsar, gamma, population",2,2024-06-01 02:00:00,31_pulsar_star_gravitational
32,"estimation, dir, drone",3,2024-06-01 02:00:00,32_estimation_occlusion_camera
33,"rppg, physiological, remote",3,2024-06-01 02:00:00,33_rppg_physiological_remote
-1,"scene, event, camera",190,2024-07-01 12:00:00,-1_scene_action_camera
0,"segmentation, medical, imaging",114,2024-07-01 12:00:00,0_segmentation_medical_mri
1,"t2v, editing, subject",25,2024-07-01 12:00:00,1_editing_edit_t2v
2,"robot, policy, manipulation",33,2024-07-01 12:00:00,2_robot_policy_manipulation
3,"facial, head, avatar",14,2024-07-01 12:00:00,3_facial_head_talk
4,"scene, gaussian, 4d",16,2024-07-01 12:00:00,4_gaussian_scene_splatting
5,"deepfake, forgery, unsafe",12,2024-07-01 12:00:00,5_deepfake_attack_adversarial
6,"super, restoration, inverse",14,2024-07-01 12:00:00,6_super_sr_restoration
7,"precipitation, ensemble, forecasting",8,2024-07-01 12:00:00,7_traffic_forecasting_graph
8,"protein, captioning, caption",11,2024-07-01 12:00:00,8_caption_captioning_retrieval
9,"compression, codec, coding",9,2024-07-01 12:00:00,9_compression_codec_coding
10,"vortex, multimode, soliton",11,2024-07-01 12:00:00,10_quantum_vortex_wave
11,"audio, sound, music",11,2024-07-01 12:00:00,11_audio_sound_music
12,"question, answer, reasoning",11,2024-07-01 12:00:00,12_question_reasoning_answer
13,"hyperspectral, hsi, unmixing",5,2024-07-01 12:00:00,13_hyperspectral_spectral_hsi
14,"sar, aperture, urban",8,2024-07-01 12:00:00,14_sar_radar_satellite
15,"action, tal, vocabulary",12,2024-07-01 12:00:00,15_action_activity_vocabulary
16,"sam, segmentation, tracking",3,2024-07-01 12:00:00,16_tracking_segmentation_vos
17,"surgical, surgery, corruption",9,2024-07-01 12:00:00,17_surgical_surgery_sam
18,"animation, length, body",7,2024-07-01 12:00:00,18_character_synthesis_body
19,"vqa, assessment, qa",6,2024-07-01 12:00:00,19_assessment_vqa_iqa
20,"accident, city, driving",2,2024-07-01 12:00:00,20_driving_autonomous_traffic
21,"monocular, scene, flow",10,2024-07-01 12:00:00,21_monocular_scene_estimation
22,"micro, organization, hyper",2,2024-07-01 12:00:00,22_recommendation_social_medium
24,"lambda, ir, retrieval",3,2024-07-01 12:00:00,24_llm_geospatial_student
25,"anomaly, vad, reasoning",4,2024-07-01 12:00:00,25_anomaly_vad_normal
26,"emotion, expression, facial",5,2024-07-01 12:00:00,26_emotion_expression_facial
27,"token, nested, accelerator",3,2024-07-01 12:00:00,27_token_vit_tokenization
28,"sign, gloss, event",2,2024-07-01 12:00:00,28_sign_gloss_translation
29,"communication, wireless, streaming",7,2024-07-01 12:00:00,29_communication_wireless_transmission
30,"game, player, cs",6,2024-07-01 12:00:00,30_game_player_llm
31,"disc, torque, planet",2,2024-07-01 12:00:00,31_pulsar_star_gravitational
32,"estimation, abnormal, occlusion",3,2024-07-01 12:00:00,32_estimation_occlusion_camera
33,"rppg, remote, photoplethysmography",3,2024-07-01 12:00:00,33_rppg_physiological_remote
-1,"speech, scene, camera",137,2024-07-31 22:00:00,-1_scene_action_camera
0,"segmentation, medical, imaging",114,2024-07-31 22:00:00,0_segmentation_medical_mri
1,"editing, agent, t2v",31,2024-07-31 22:00:00,1_editing_edit_t2v
2,"robot, policy, manipulation",17,2024-07-31 22:00:00,2_robot_policy_manipulation
3,"lip, facial, head",13,2024-07-31 22:00:00,3_facial_head_talk
4,"gaussian, scene, splatting",10,2024-07-31 22:00:00,4_gaussian_scene_splatting
5,"privacy, attack, deepfake",16,2024-07-31 22:00:00,5_deepfake_attack_adversarial
6,"super, sr, degradation",9,2024-07-31 22:00:00,6_super_sr_restoration
7,"closure, simulation, trajectory",9,2024-07-31 22:00:00,7_traffic_forecasting_graph
8,"caption, summarization, query",14,2024-07-31 22:00:00,8_caption_captioning_retrieval
9,"compression, quantization, coding",7,2024-07-31 22:00:00,9_compression_codec_coding
10,"dynamical, vortex, active",6,2024-07-31 22:00:00,10_quantum_vortex_wave
11,"sound, audio, music",4,2024-07-31 22:00:00,11_audio_sound_music
12,"reasoning, correspondences, chunk",3,2024-07-31 22:00:00,12_question_reasoning_answer
13,"hyperspectral, spectral, hsi",6,2024-07-31 22:00:00,13_hyperspectral_spectral_hsi
14,"sar, polarimetric, speckle",6,2024-07-31 22:00:00,14_sar_radar_satellite
15,"action, localization, tal",8,2024-07-31 22:00:00,15_action_activity_vocabulary
16,"sam, tracking, segmentation",5,2024-07-31 22:00:00,16_tracking_segmentation_vos
17,"surgical, sam, segmentation",10,2024-07-31 22:00:00,17_surgical_surgery_sam
18,"interactive, movement, animation",3,2024-07-31 22:00:00,18_character_synthesis_body
19,"vqa, ugc, assessment",3,2024-07-31 22:00:00,19_assessment_vqa_iqa
20,"driving, autonomous, vehicle",10,2024-07-31 22:00:00,20_driving_autonomous_traffic
21,"meshing, odometry, mesh",3,2024-07-31 22:00:00,21_monocular_scene_estimation
22,"commerce, item, matching",2,2024-07-31 22:00:00,22_recommendation_social_medium
23,"action, stretching, humans",1,2024-07-31 22:00:00,23_egocentric_grasp_bimanual
24,"instructor, llm, ya",4,2024-07-31 22:00:00,24_llm_geospatial_student
25,"anomaly, vad, vae",4,2024-07-31 22:00:00,25_anomaly_vad_normal
26,"fer, emotion, emotional",5,2024-07-31 22:00:00,26_emotion_expression_facial
27,"token, vits, shuffle",4,2024-07-31 22:00:00,27_token_vit_tokenization
28,"sign, gloss, translation",2,2024-07-31 22:00:00,28_sign_gloss_translation
29,"channel, transmission, gsc",3,2024-07-31 22:00:00,29_communication_wireless_transmission
31,"radiative, multidimensional, solar",1,2024-07-31 22:00:00,31_pulsar_star_gravitational
32,"estimation, zebra, animal",5,2024-07-31 22:00:00,32_estimation_occlusion_camera
33,"rppg, remote, duality",1,2024-07-31 22:00:00,33_rppg_physiological_remote
-1,"scene, camera, tracking",187,2024-08-31 08:00:00,-1_scene_action_camera
0,"segmentation, medical, imaging",153,2024-08-31 08:00:00,0_segmentation_medical_mri
1,"editing, edit, vae",26,2024-08-31 08:00:00,1_editing_edit_t2v
2,"robot, policy, manipulation",52,2024-08-31 08:00:00,2_robot_policy_manipulation
3,"facial, head, talk",25,2024-08-31 08:00:00,3_facial_head_talk
4,"scene, gaussian, splatting",15,2024-08-31 08:00:00,4_gaussian_scene_splatting
5,"deepfake, attack, privacy",16,2024-08-31 08:00:00,5_deepfake_attack_adversarial
6,"super, omni, directional",7,2024-08-31 08:00:00,6_super_sr_restoration
7,"precipitation, climate, forecasting",13,2024-08-31 08:00:00,7_traffic_forecasting_graph
8,"captioning, event, caption",5,2024-08-31 08:00:00,8_caption_captioning_retrieval
9,"compression, codec, bit",11,2024-08-31 08:00:00,9_compression_codec_coding
10,"reaction, wall, transport",18,2024-08-31 08:00:00,10_quantum_vortex_wave
11,"audio, v2a, speech",14,2024-08-31 08:00:00,11_audio_sound_music
12,"question, event, reasoning",9,2024-08-31 08:00:00,12_question_reasoning_answer
13,"hyperspectral, spectral, hsi",5,2024-08-31 08:00:00,13_hyperspectral_spectral_hsi
14,"sar, water, eo",3,2024-08-31 08:00:00,14_sar_radar_satellite
15,"action, classroom, activity",7,2024-08-31 08:00:00,15_action_activity_vocabulary
16,"tracking, tube, track",5,2024-08-31 08:00:00,16_tracking_segmentation_vos
17,"surgical, surgery, phase",10,2024-08-31 08:00:00,17_surgical_surgery_sam
18,"character, animation, drawing",10,2024-08-31 08:00:00,18_character_synthesis_body
19,"assessment, vqa, iqa",4,2024-08-31 08:00:00,19_assessment_vqa_iqa
20,"driving, driver, autonomous",6,2024-08-31 08:00:00,20_driving_autonomous_traffic
21,"lidar, panoptic, mid",4,2024-08-31 08:00:00,21_monocular_scene_estimation
22,"scam, engagement, friend",5,2024-08-31 08:00:00,22_recommendation_social_medium
23,"grasp, egocentric, bimanual",6,2024-08-31 08:00:00,23_egocentric_grasp_bimanual
24,"plan, vulnerability, llm",4,2024-08-31 08:00:00,24_llm_geospatial_student
25,"anomaly, vad, hyperbolic",4,2024-08-31 08:00:00,25_anomaly_vad_normal
26,"emotion, expression, mental",7,2024-08-31 08:00:00,26_emotion_expression_facial
28,"sign, translation, multiscale",4,2024-08-31 08:00:00,28_sign_gloss_translation
29,"jscc, communication, channel",1,2024-08-31 08:00:00,29_communication_wireless_transmission
30,"game, modelling, agent",3,2024-08-31 08:00:00,30_game_player_llm
31,"wave, jet, solar",2,2024-08-31 08:00:00,31_pulsar_star_gravitational
32,"gravity, coordinate, ambiguity",1,2024-08-31 08:00:00,32_estimation_occlusion_camera
33,"rppg, physiological, remote",2,2024-08-31 08:00:00,33_rppg_physiological_remote
-1,"camera, cloud, action",205,2024-09-30 18:00:00,-1_scene_action_camera
0,"segmentation, medical, imaging",131,2024-09-30 18:00:00,0_segmentation_medical_mri
1,"editing, t2v, interpolation",51,2024-09-30 18:00:00,1_editing_edit_t2v
2,"robot, policy, manipulation",69,2024-09-30 18:00:00,2_robot_policy_manipulation
3,"facial, head, talk",13,2024-09-30 18:00:00,3_facial_head_talk
4,"scene, gaussian, splatting",16,2024-09-30 18:00:00,4_gaussian_scene_splatting
5,"deepfake, attack, privacy",17,2024-09-30 18:00:00,5_deepfake_attack_adversarial
6,"sr, super, lr",9,2024-09-30 18:00:00,6_super_sr_restoration
7,"traffic, graph, outage",17,2024-09-30 18:00:00,7_traffic_forecasting_graph
8,"caption, captioning, summarization",17,2024-09-30 18:00:00,8_caption_captioning_retrieval
9,"compression, codec, coding",13,2024-09-30 18:00:00,9_compression_codec_coding
10,"active, quantum, fluid",6,2024-09-30 18:00:00,10_quantum_vortex_wave
11,"audio, music, speech",9,2024-09-30 18:00:00,11_audio_sound_music
12,"reasoning, question, answer",15,2024-09-30 18:00:00,12_question_reasoning_answer
13,"hyperspectral, spectral, neutron",6,2024-09-30 18:00:00,13_hyperspectral_spectral_hsi
14,"plant, cc, cd",5,2024-09-30 18:00:00,14_sar_radar_satellite
15,"activity, action, surveillance",5,2024-09-30 18:00:00,15_action_activity_vocabulary
16,"tracking, segmentation, paste",6,2024-09-30 18:00:00,16_tracking_segmentation_vos
17,"surgical, surgery, dl",3,2024-09-30 18:00:00,17_surgical_surgery_sam
18,"character, synthesis, scene",9,2024-09-30 18:00:00,18_character_synthesis_body
19,"rating, assessment, vqa",4,2024-09-30 18:00:00,19_assessment_vqa_iqa
20,"driving, occupancy, autonomous",7,2024-09-30 18:00:00,20_driving_autonomous_traffic
21,"delta, tracking, lidar",3,2024-09-30 18:00:00,21_monocular_scene_estimation
22,"hashtag, cold, recommendation",1,2024-09-30 18:00:00,22_recommendation_social_medium
23,"articulate, piano, egocentric",3,2024-09-30 18:00:00,23_egocentric_grasp_bimanual
24,"geospatial, tutor, geocode",8,2024-09-30 18:00:00,24_llm_geospatial_student
25,"anomaly, danger, crime",3,2024-09-30 18:00:00,25_anomaly_vad_normal
